cell_id,safe_task_id,repository,task_type,condition,model,reasoning_effort,repeat,page_type,entry_path,entry_page_extension,entry_page_path_depth,entry_page_bytes,entry_page_lines,entry_page_heading_count,entry_page_link_count,entry_page_toctree_count,wiki_tokens,wiki_bytes,wiki_read_count,unique_wiki_pages,repeated_wiki_page_reads,entry_read_count,beyond_entry_reads,wiki_reads_before_source,returned_to_wiki_after_source,literal_entry_before_source,unresolved_mixed_access_count,mixed_accesses_after_entry,first_page_share,wiki_share_of_56k_input_budget,page_1_tokens,page_1_bytes,page_1_path_count,page_1_is_entry,page_2_tokens,page_2_bytes,page_2_path_count,page_2_is_entry,page_3_tokens,page_3_bytes,page_3_path_count,page_3_is_entry,page_4_tokens,page_4_bytes,page_4_path_count,page_4_is_entry,page_5_tokens,page_5_bytes,page_5_path_count,page_5_is_entry,pages_after_5_tokens,source_output_tokens,source_output_bytes,gold_seen_any,gold_seen_by_3_source_actions,gold_targeted_any,gold_parent_seen_any,prediction_seen_fraction,unique_targeted_source_files,non_gold_files_before_gold_or_end,first_gold_source_step,source_action_count,aligned_output_count,provider_input_tokens,provider_cached_input_tokens,provider_output_tokens,provider_reasoning_tokens,provider_total_tokens,elapsed_seconds,agent_step_count,recall_at_1,recall_at_3,recall_at_5,hit_at_1,reciprocal_rank,ndcg_at_3,returned_set_precision,returned_set_f1,prediction_count,gold_file_count,matched_gold_file_count
17863150db55d11795c89aa8dc67c06f6aabba7a2c91884cb752d40e6b1fe0c4,34b3d9dea0b5bb4f98d0a5bcc20cf523d99c2296cba096f4c4fad8b69cf4f008,ansible/ansible,NO_EXPLICIT_LOCATOR_CLUE,FUNCTIONAL_REQUIRED_BEFORE_SOURCE,gpt-5.6-terra,medium,1,curated_navigation_hub,docs/docsite/rst/index.rst,.rst,4,3697,94,2,0,9,824,3697,1,1,0,1,0,1,0,1,2,2,1.0,0.014714285714285714,824,3697,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3687,16841,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2,5,6,93698,73984,1065,185,94763,38.884,6,0.5,0.5,0.5,1.0,1.0,0.6131471927654584,0.5,0.5,2,2,1
938a93e8cbc47caba01016ab407bca2ebf16d4373d43bc8d04e43663f79ac2a9,34b3d9dea0b5bb4f98d0a5bcc20cf523d99c2296cba096f4c4fad8b69cf4f008,ansible/ansible,NO_EXPLICIT_LOCATOR_CLUE,NO_DOC_GUIDANCE,gpt-5.6-terra,medium,1,curated_navigation_hub,docs/docsite/rst/index.rst,.rst,4,3697,94,2,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3342,15271,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2,5,5,80863,64000,955,176,81818,38.735,5,0.5,0.5,0.5,1.0,1.0,0.6131471927654584,0.5,0.5,2,2,1
92eb5700b3e2e3f5a4ce9377c70b51e8728d0ad4769bb17dced8515b5740c4ec,34b3d9dea0b5bb4f98d0a5bcc20cf523d99c2296cba096f4c4fad8b69cf4f008,ansible/ansible,NO_EXPLICIT_LOCATOR_CLUE,FUNCTIONAL_OPTIONAL,gpt-5.6-terra,medium,1,curated_navigation_hub,docs/docsite/rst/index.rst,.rst,4,3697,94,2,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3,5,5,74507,56832,678,136,75185,43.368,5,0.5,0.5,0.5,1.0,1.0,0.6131471927654584,0.5,0.5,2,2,1
7e8390a0f2c97896bf0af24b41d6ed0b8d3445a655a109f219bb15e58e5c99d8,4247d1d64cd8d914a0c11bdc11e306ca01609c76bd981504adf1692bb8aa9bd7,ansible/ansible,EXPLICIT_LOCATOR_CLUE,FUNCTIONAL_REQUIRED_BEFORE_SOURCE,gpt-5.6-terra,medium,1,curated_navigation_hub,docs/docsite/rst/core_index.rst,.rst,4,4566,99,2,0,7,996,4566,1,1,0,1,0,1,0,1,4,4,1.0,0.017785714285714287,996,4566,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2,5,6,96026,79104,917,296,96943,30.378,6,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,4,3,3
de6897e4a86670058cc117be288dae1f89aa9303ac1de80351b870c48d62b2b2,4247d1d64cd8d914a0c11bdc11e306ca01609c76bd981504adf1692bb8aa9bd7,ansible/ansible,EXPLICIT_LOCATOR_CLUE,FUNCTIONAL_OPTIONAL,gpt-5.6-terra,medium,1,curated_navigation_hub,docs/docsite/rst/core_index.rst,.rst,4,4566,99,2,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3,4,4,52204,45824,735,142,52939,23.023,4,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,3
3604fe01895d531d9dd93963984a3e772007db382f82db94b55549220e510830,4247d1d64cd8d914a0c11bdc11e306ca01609c76bd981504adf1692bb8aa9bd7,ansible/ansible,EXPLICIT_LOCATOR_CLUE,NO_DOC_GUIDANCE,gpt-5.6-terra,medium,1,curated_navigation_hub,docs/docsite/rst/core_index.rst,.rst,4,4566,99,2,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,1.0,0.0,1.0,1.0,1.0,4.0,1.0,5,6,6,80852,69888,1008,173,81860,30.547,6,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.6,0.75,5,3,3
7cb51aad30fb325917edaf0af0bfc70f95d80db6cc022c1741da80d5682833ed,c1ce86baab9d189d8936015326187ad11f2e731c801e6f4ac1fbdc254b917393,ansible/ansible,EXPLICIT_LOCATOR_CLUE,NO_DOC_GUIDANCE,gpt-5.6-terra,medium,1,curated_navigation_hub,docs/docsite/rst/core_index.rst,.rst,4,4801,110,2,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,3,5,5,92620,73216,1087,205,93707,32.5,5,0.5,0.5,0.5,1.0,1.0,0.6131471927654584,0.25,0.3333333333333333,4,2,1
7ca019b935d7dd977263de81c41063ed26ef67950f2883b609df52ec83685924,c1ce86baab9d189d8936015326187ad11f2e731c801e6f4ac1fbdc254b917393,ansible/ansible,EXPLICIT_LOCATOR_CLUE,FUNCTIONAL_OPTIONAL,gpt-5.6-terra,medium,1,curated_navigation_hub,docs/docsite/rst/core_index.rst,.rst,4,4801,110,2,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,4,4,51773,45824,583,43,52356,21.766,4,0.5,0.5,0.5,1.0,1.0,0.6131471927654584,0.3333333333333333,0.4,3,2,1
5caa5d9661fcda3725c1c5cba4ca96c3ee0a792dd021c1d53e4a1e82306ae67a,c1ce86baab9d189d8936015326187ad11f2e731c801e6f4ac1fbdc254b917393,ansible/ansible,EXPLICIT_LOCATOR_CLUE,FUNCTIONAL_REQUIRED_BEFORE_SOURCE,gpt-5.6-terra,medium,1,curated_navigation_hub,docs/docsite/rst/core_index.rst,.rst,4,4801,110,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,9972,6912,51,0,10023,5.777,0,0.5,0.5,0.5,1.0,1.0,0.6131471927654584,1.0,0.6666666666666666,1,2,1
374af45eb6b6c1d938631eddce86d51b8c7c3743e1f7814b808ac9540c2bf2d5,d52482164f390649348a572d1cc0b03b9d265df1746cef6cff70c359a399a5c6,ansible/ansible,NO_EXPLICIT_LOCATOR_CLUE,NO_DOC_GUIDANCE,gpt-5.6-terra,medium,1,curated_navigation_hub,docs/docsite/rst/core_index.rst,.rst,4,4349,90,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,9645,6912,100,47,9745,5.276,0,0.5,0.5,0.5,1.0,1.0,0.6131471927654584,1.0,0.6666666666666666,1,2,1
