repository,task_type,page_type,entry_page_extension,entry_page_path_depth,entry_page_bytes,entry_page_lines,entry_page_heading_count,entry_page_link_count,entry_page_toctree_count,optional_mean_recall_at_3,optional_mean_ndcg_at_3,optional_mean_returned_set_f1,required_mean_recall_at_3,required_mean_ndcg_at_3,required_mean_returned_set_f1,required_minus_optional_recall_at_3,required_minus_optional_ndcg_at_3,required_minus_optional_returned_set_f1,required_mean_wiki_tokens,required_mean_wiki_bytes,required_mean_wiki_read_count,required_mean_unique_wiki_pages,required_mean_beyond_entry_reads,required_mean_page_1_tokens,required_mean_page_2_tokens,required_mean_page_3_tokens,required_mean_first_page_share,required_mean_unique_targeted_source_files,required_mean_non_gold_files_before_gold_or_end,required_mean_gold_seen_any,required_mean_gold_seen_by_3_source_actions,required_mean_gold_targeted_any,required_mean_prediction_seen_fraction,optional_mean_elapsed_seconds,required_mean_elapsed_seconds,required_minus_optional_elapsed_seconds,optional_mean_agent_step_count,required_mean_agent_step_count,required_minus_optional_agent_step_count,optional_mean_source_action_count,required_mean_source_action_count,required_minus_optional_source_action_count,required_minus_optional_provider_total_tokens
sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,855,33,1,1,2,0.125,0.125,0.05,0.375,0.375,0.1958333333333333,0.25,0.25,0.1458333333333333,227.0,855.0,1.0,1.0,0.0,227.0,0.0,0.0,1.0,5.625,4.625,0.375,0.0,0.375,1.0,87.59,109.295875,21.705874999999992,7.625,9.75,2.125,7.5,8.625,1.125,70047.5
huggingface/transformers,NO_EXPLICIT_LOCATOR_CLUE,large_reference_catalog,.mdx,4,80751,424,5,383,0,1.0,0.9538662191964322,0.5041666666666667,1.0,0.9538662191964322,0.525,0.0,0.0,0.0208333333333333,16995.0,58229.0,1.0,1.0,0.0,16995.0,0.0,0.0,1.0,6.0,2.125,1.0,0.75,1.0,1.0,77.31325,93.270375,15.957125000000003,7.75,10.5,2.75,7.75,9.25,1.5,122140.625
sympy/sympy,EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,835,32,1,1,2,1.0,1.0,0.7083333333333333,1.0,1.0,0.6666666666666666,0.0,0.0,-0.0416666666666666,221.0,835.0,1.0,1.0,0.0,221.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,29.53325,32.845625,3.3123749999999994,3.625,4.75,1.125,3.625,3.75,0.125,9384.375
django/django,NO_EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12351,346,17,5,0,1.0,1.0,0.7166666666666667,1.0,1.0,0.7,0.0,0.0,-0.0166666666666667,2125.0,8404.0,1.0,1.0,0.0,2125.0,0.0,0.0,1.0,8.25,1.375,1.0,1.0,1.0,1.0,76.715625,120.46425,43.74862499999999,7.0,9.5,2.5,7.0,8.25,1.25,26607.25
django/django,NO_EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12459,349,17,5,0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,2130.0,8392.0,1.0,1.0,0.0,2130.0,0.0,0.0,1.0,2.75,1.0,1.0,1.0,0.875,1.0,42.27775,39.71425,-2.5634999999999977,4.5,5.0,0.5,4.5,4.0,-0.5,10362.625
sympy/sympy,EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,835,32,1,1,2,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,221.0,835.0,1.0,1.0,0.0,221.0,0.0,0.0,1.0,5.25,1.0,1.0,1.0,1.0,1.0,47.837625,58.30425,10.466624999999992,5.75,7.625,1.875,5.625,6.625,1.0,11117.5
sphinx-doc/sphinx,NO_EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,2,476,38,2,6,1,1.0,1.0,0.6666666666666666,1.0,1.0,0.625,0.0,0.0,-0.0416666666666666,834.75,3304.75,1.25,1.5,0.25,135.0,699.75,0.0,0.7615404557817191,3.125,1.125,1.0,0.875,1.0,1.0,28.229875,46.395,18.165124999999996,4.125,7.25,3.125,4.125,5.875,1.75,31736.875
matplotlib/matplotlib,NO_EXPLICIT_LOCATOR_CLUE,curated_navigation_hub,.rst,2,2684,111,9,4,0,0.5,0.6131471927654584,0.5208333333333334,0.5,0.6131471927654584,0.5,0.0,0.0,-0.0208333333333333,615.0,2684.0,1.0,1.0,0.0,615.0,0.0,0.0,1.0,4.375,1.75,1.0,0.875,1.0,1.0,48.789625,51.339125,2.549500000000002,6.0,6.75,0.75,6.0,5.625,-0.375,5094.0
sympy/sympy,EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,821,31,1,1,2,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,223.0,821.0,1.0,1.0,0.0,223.0,0.0,0.0,1.0,2.375,1.25,0.875,0.875,0.75,0.875,13.128625,23.353125,10.2245,1.375,3.375,2.0,1.375,2.375,1.0,18920.75
sphinx-doc/sphinx,EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,2,476,38,2,6,1,1.0,1.0,0.625,1.0,1.0,0.5833333333333333,0.0,0.0,-0.0416666666666667,135.0,476.0,1.0,1.0,0.0,135.0,0.0,0.0,1.0,6.25,1.875,1.0,0.875,1.0,1.0,67.05875,78.957375,11.898624999999996,7.875,10.625,2.75,7.625,9.375,1.75,30100.875
django/django,EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12344,347,17,5,0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,2128.0,8396.0,1.0,1.0,0.0,2128.0,0.0,0.0,1.0,5.25,1.0,1.0,1.0,1.0,1.0,50.6395,62.184625,11.545125,5.875,7.625,1.75,5.875,6.625,0.75,28835.0
huggingface/transformers,EXPLICIT_LOCATOR_CLUE,large_reference_catalog,.md,4,41855,342,4,285,0,1.0,1.0,0.7916666666666666,1.0,1.0,0.6666666666666666,0.0,0.0,-0.125,6041.0,28436.0,1.0,1.0,0.0,6041.0,0.0,0.0,1.0,3.0,1.25,1.0,0.875,1.0,1.0,29.91375,43.607625,13.693874999999998,3.625,7.0,3.375,3.625,6.0,2.375,88172.75
django/django,NO_EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12351,346,17,5,0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,2125.0,8404.0,1.0,1.0,0.0,2125.0,0.0,0.0,1.0,4.125,1.25,1.0,1.0,1.0,1.0,56.756875,61.361875,4.604999999999997,6.375,8.25,1.875,6.375,7.25,0.875,38978.375
