experiment_id,experiment_version,plan_id,task_id,repository,task_type,no_doc_mean_recall_at_3,no_doc_mean_recall_at_5,no_doc_mean_ndcg_at_3,no_doc_mean_returned_set_f1,no_doc_mean_provider_total_tokens,no_doc_mean_elapsed_seconds,no_doc_mean_agent_step_count,no_doc_mean_wiki_read_count,no_doc_mean_wiki_tokens,no_doc_mean_unique_wiki_pages,no_doc_mean_beyond_entry_reads,no_doc_mean_gold_seen_any,no_doc_mean_gold_seen_by_3_source_actions,no_doc_mean_gold_targeted_any,optional_mean_recall_at_3,optional_mean_recall_at_5,optional_mean_ndcg_at_3,optional_mean_returned_set_f1,optional_mean_provider_total_tokens,optional_mean_elapsed_seconds,optional_mean_agent_step_count,optional_mean_wiki_read_count,optional_mean_wiki_tokens,optional_mean_unique_wiki_pages,optional_mean_beyond_entry_reads,optional_mean_gold_seen_any,optional_mean_gold_seen_by_3_source_actions,optional_mean_gold_targeted_any,doc_first_mean_recall_at_3,doc_first_mean_recall_at_5,doc_first_mean_ndcg_at_3,doc_first_mean_returned_set_f1,doc_first_mean_provider_total_tokens,doc_first_mean_elapsed_seconds,doc_first_mean_agent_step_count,doc_first_mean_wiki_read_count,doc_first_mean_wiki_tokens,doc_first_mean_unique_wiki_pages,doc_first_mean_beyond_entry_reads,doc_first_mean_gold_seen_any,doc_first_mean_gold_seen_by_3_source_actions,doc_first_mean_gold_targeted_any,doc_first_minus_optional_recall_at_3,doc_first_minus_optional_recall_at_5,doc_first_minus_optional_ndcg_at_3,doc_first_minus_optional_returned_set_f1,doc_first_minus_optional_provider_total_tokens,doc_first_minus_optional_elapsed_seconds,doc_first_minus_optional_agent_step_count,doc_first_minus_optional_wiki_read_count,doc_first_minus_optional_wiki_tokens,doc_first_minus_optional_unique_wiki_pages,doc_first_minus_optional_beyond_entry_reads,doc_first_minus_optional_gold_seen_any,doc_first_minus_optional_gold_seen_by_3_source_actions,doc_first_minus_optional_gold_targeted_any,doc_first_minus_no_doc_recall_at_3,doc_first_minus_no_doc_recall_at_5,doc_first_minus_no_doc_ndcg_at_3,doc_first_minus_no_doc_returned_set_f1,doc_first_minus_no_doc_provider_total_tokens,doc_first_minus_no_doc_elapsed_seconds,doc_first_minus_no_doc_agent_step_count,doc_first_minus_no_doc_wiki_read_count,doc_first_minus_no_doc_wiki_tokens,doc_first_minus_no_doc_unique_wiki_pages,doc_first_minus_no_doc_beyond_entry_reads,doc_first_minus_no_doc_gold_seen_any,doc_first_minus_no_doc_gold_seen_by_3_source_actions,doc_first_minus_no_doc_gold_targeted_any,optional_minus_no_doc_recall_at_3,optional_minus_no_doc_recall_at_5,optional_minus_no_doc_ndcg_at_3,optional_minus_no_doc_returned_set_f1,optional_minus_no_doc_provider_total_tokens,optional_minus_no_doc_elapsed_seconds,optional_minus_no_doc_agent_step_count,optional_minus_no_doc_wiki_read_count,optional_minus_no_doc_wiki_tokens,optional_minus_no_doc_unique_wiki_pages,optional_minus_no_doc_beyond_entry_reads,optional_minus_no_doc_gold_seen_any,optional_minus_no_doc_gold_seen_by_3_source_actions,optional_minus_no_doc_gold_targeted_any
82-tasks,2026-09-01-v1,0153a6e87214cac2efcebbf590ae87d366ed9f724598611289e4b308a727189f,34b3d9dea0b5bb4f98d0a5bcc20cf523d99c2296cba096f4c4fad8b69cf4f008,ansible/ansible,NO_EXPLICIT_LOCATOR_CLUE,0.5,0.5,0.6131471927654584,0.5,117299.875,46.843,6.125,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.6131471927654584,0.5,107171.75,47.885125,6.375,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.6131471927654584,0.4875,123509.0,52.221625,8.0,1.0,824.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.012500000000000011,16337.25,4.336500000000001,1.625,1.0,824.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012500000000000011,6209.125,5.3786249999999995,1.875,1.0,824.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10128.125,1.0421249999999986,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82-tasks,2026-09-01-v1,0153a6e87214cac2efcebbf590ae87d366ed9f724598611289e4b308a727189f,4247d1d64cd8d914a0c11bdc11e306ca01609c76bd981504adf1692bb8aa9bd7,ansible/ansible,EXPLICIT_LOCATOR_CLUE,0.6666666666666666,0.6666666666666666,0.7346393630113782,0.5470238095238095,176977.0,71.717375,8.625,0.0,0.0,0.0,0.0,1.0,0.875,1.0,0.6666666666666666,0.6666666666666666,0.7346393630113782,0.5925595238095238,174257.5,69.242375,8.25,0.0,0.0,0.0,0.0,1.0,0.625,1.0,0.5833333333333333,0.75,0.652938566775601,0.6437499999999999,204790.125,84.9085,10.625,1.0,996.0,1.0,0.0,1.0,0.875,1.0,-0.08333333333333337,0.08333333333333337,-0.0817007962357772,0.05119047619047612,30532.625,15.666125000000008,2.375,1.0,996.0,1.0,0.0,0.0,0.25,0.0,-0.08333333333333337,0.08333333333333337,-0.0817007962357772,0.09672619047619047,27813.125,13.191125,2.0,1.0,996.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045535714285714346,-2719.5,-2.4750000000000085,-0.375,0.0,0.0,0.0,0.0,0.0,-0.25,0.0
82-tasks,2026-09-01-v1,0153a6e87214cac2efcebbf590ae87d366ed9f724598611289e4b308a727189f,c1ce86baab9d189d8936015326187ad11f2e731c801e6f4ac1fbdc254b917393,ansible/ansible,EXPLICIT_LOCATOR_CLUE,0.5,0.5,0.6131471927654584,0.45416666666666666,139721.0,59.545875,7.875,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,0.6131471927654584,0.5083333333333333,161499.125,63.94125,7.375,0.0,0.0,0.0,0.0,0.875,0.625,0.875,0.5,0.5,0.6131471927654584,0.5083333333333333,171829.875,54.529374999999995,9.375,0.875,931.875,0.875,0.0,0.875,0.75,0.75,0.0,0.0,0.0,0.0,10330.75,-9.411875000000002,2.0,0.875,931.875,0.875,0.0,0.0,0.125,-0.125,0.0,0.0,0.0,0.05416666666666664,32108.875,-5.016500000000008,1.5,0.875,931.875,0.875,0.0,-0.125,0.25,-0.25,0.0,0.0,0.0,0.05416666666666664,21778.125,4.395374999999994,-0.5,0.0,0.0,0.0,0.0,-0.125,0.125,-0.125
82-tasks,2026-09-01-v1,0153a6e87214cac2efcebbf590ae87d366ed9f724598611289e4b308a727189f,d52482164f390649348a572d1cc0b03b9d265df1746cef6cff70c359a399a5c6,ansible/ansible,NO_EXPLICIT_LOCATOR_CLUE,0.5,0.5,0.6131471927654584,0.6333333333333333,83320.625,38.259625,4.875,0.0,0.0,0.0,0.0,0.875,0.875,0.875,0.5,0.5,0.6131471927654584,0.6458333333333333,90597.5,46.10675,5.125,0.0,0.0,0.0,0.0,0.875,0.875,0.875,0.5,0.5,0.6131471927654584,0.6333333333333333,118762.5,49.09675,7.25,1.0,937.0,1.0,0.0,1.0,0.75,1.0,0.0,0.0,0.0,-0.012499999999999956,28165.0,2.990000000000002,2.125,1.0,937.0,1.0,0.0,0.125,-0.125,0.125,0.0,0.0,0.0,0.0,35441.875,10.837125,2.375,1.0,937.0,1.0,0.0,0.125,-0.125,0.125,0.0,0.0,0.0,0.012499999999999956,7276.875,7.847124999999998,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82-tasks,2026-09-01-v1,0153a6e87214cac2efcebbf590ae87d366ed9f724598611289e4b308a727189f,858a1cb4eac7b6ea9cf4e883623f219cfaf9b5fcfcb942eec931dd5cb71fbc6e,ansible/ansible,NO_EXPLICIT_LOCATOR_CLUE,1.0,1.0,1.0,0.4875,75789.75,39.036375,5.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4875,80722.5,45.45675,6.375,0.0,0.0,0.0,0.0,1.0,1.0,0.875,1.0,1.0,1.0,0.5416666666666666,124815.875,59.018750000000004,9.125,1.125,896.375,1.125,0.125,1.0,1.0,1.0,0.0,0.0,0.0,0.05416666666666664,44093.375,13.562000000000005,2.75,1.125,896.375,1.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.05416666666666664,49026.125,19.982375000000005,3.875,1.125,896.375,1.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4932.75,6.420375,1.125,0.0,0.0,0.0,0.0,0.0,0.0,-0.125
82-tasks,2026-09-01-v1,0153a6e87214cac2efcebbf590ae87d366ed9f724598611289e4b308a727189f,9cdb8c8581f977b75ab94a922b6819fee5fc4febdd6a73f230ae112f0602be7b,ansible/ansible,NO_EXPLICIT_LOCATOR_CLUE,0.21250000000000002,0.4,0.6403606369886217,0.5333333333333333,80700.5,56.695,5.25,0.0,0.0,0.0,0.0,1.0,1.0,0.875,0.21250000000000002,0.4,0.6187110351065103,0.5333333333333333,84707.75,62.505875,5.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.225,0.4,0.6990204777414663,0.5333333333333333,97398.625,68.9235,6.75,0.875,931.875,0.875,0.0,1.0,1.0,0.875,0.012499999999999983,0.0,0.08030944263495599,0.0,12690.875,6.417625000000001,1.5,0.875,931.875,0.875,0.0,0.0,0.0,-0.125,0.012499999999999983,0.0,0.05865984075284458,0.0,16698.125,12.228500000000004,1.5,0.875,931.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,-0.021649601882111402,0.0,4007.25,5.810875000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
82-tasks,2026-09-01-v1,0153a6e87214cac2efcebbf590ae87d366ed9f724598611289e4b308a727189f,51a21eb933973737e7ea45232e398cb7b6eb9fc6141e60781f0b7f272cf6580e,ansible/ansible,NO_EXPLICIT_LOCATOR_CLUE,0.0,0.0,0.0,0.0,180943.5,70.6585,8.75,0.0,0.0,0.0,0.0,1.0,0.375,1.0,0.0,0.0,0.0,0.0,143411.125,60.309125,7.125,0.0,0.0,0.0,0.0,0.875,0.375,0.75,0.0,0.0,0.0,0.0,186989.875,79.872,9.875,1.0,940.0,1.0,0.0,1.0,0.625,1.0,0.0,0.0,0.0,0.0,43578.75,19.562875,2.75,1.0,940.0,1.0,0.0,0.125,0.25,0.25,0.0,0.0,0.0,0.0,6046.375,9.213499999999996,1.125,1.0,940.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,-37532.375,-10.349375000000002,-1.625,0.0,0.0,0.0,0.0,-0.125,0.0,-0.25
82-tasks,2026-09-01-v1,0153a6e87214cac2efcebbf590ae87d366ed9f724598611289e4b308a727189f,f240d464581e92b5f5f164a5f69350f92bbb73f8026c233b368a7f575e12b21a,ansible/ansible,NO_EXPLICIT_LOCATOR_CLUE,1.0,1.0,1.0,0.6666666666666666,108976.0,48.8005,6.125,0.0,0.0,0.0,0.0,0.875,0.875,0.875,1.0,1.0,1.0,0.7083333333333333,70994.5,41.622,4.5,0.0,0.0,0.0,0.0,0.75,0.75,0.75,1.0,1.0,1.0,0.6041666666666666,120363.75,58.78625,7.375,1.0,937.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.10416666666666663,49369.25,17.164250000000003,2.875,1.0,937.0,1.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,-0.0625,11387.75,9.985750000000003,1.25,1.0,937.0,1.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.04166666666666663,-37981.5,-7.1785,-1.625,0.0,0.0,0.0,0.0,-0.125,-0.125,-0.125
82-tasks,2026-09-01-v1,0153a6e87214cac2efcebbf590ae87d366ed9f724598611289e4b308a727189f,1a9df07288d64f9ca112d1f12d1a59bac54e70e9967144d5621e35137b7116ad,django/django,NO_EXPLICIT_LOCATOR_CLUE,1.0,1.0,1.0,0.6666666666666666,101581.625,42.478125,5.0,0.0,0.0,0.0,0.0,0.875,0.75,0.875,1.0,1.0,1.0,0.6666666666666666,141823.5,56.756875,6.375,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,180801.875,61.361875,8.25,1.0,2125.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,38978.375,4.604999999999997,1.875,1.0,2125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79220.25,18.88375,3.25,1.0,2125.0,1.0,0.0,0.125,0.25,0.125,0.0,0.0,0.0,0.0,40241.875,14.278750000000002,1.375,0.0,0.0,0.0,0.0,0.125,0.25,0.125
82-tasks,2026-09-01-v1,0153a6e87214cac2efcebbf590ae87d366ed9f724598611289e4b308a727189f,3b9b1aae840f3c8cb36e3ee58b42266730d0b5b0a7ba1c5aad17a6f4587bce35,django/django,NO_EXPLICIT_LOCATOR_CLUE,1.0,1.0,1.0,0.6666666666666666,204769.75,68.110125,8.625,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6458333333333333,134844.125,59.991125000000004,6.75,0.0,0.0,0.0,0.0,1.0,0.875,1.0,1.0,1.0,1.0,0.6666666666666666,156740.75,65.66775,8.625,1.0,2125.0,1.0,0.0,1.0,0.875,1.0,0.0,0.0,0.0,0.02083333333333337,21896.625,5.676624999999994,1.875,1.0,2125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48029.0,-2.4423749999999984,0.0,1.0,2125.0,1.0,0.0,0.0,-0.125,0.0,0.0,0.0,0.0,-0.02083333333333337,-69925.625,-8.118999999999993,-1.875,0.0,0.0,0.0,0.0,0.0,-0.125,0.0
