experiment_id,experiment_version,cell_id,task_id,repository,task_type,condition,model,reasoning_effort,repeat,status,terminal_reason,recall_at_3,recall_at_5,ndcg_at_3,returned_set_f1,provider_total_tokens,elapsed_seconds,agent_step_count,wiki_read_count,wiki_tokens,unique_wiki_pages,beyond_entry_reads,gold_seen_any,gold_seen_by_3_source_actions,gold_targeted_any
sympy-10-tasks,2026-09-01-v4,cell-000001,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-luna,medium,1,succeeded,,0.0,0.0,0.0,0.0,127963,42.22,5,0,0,0,0,0,0,0
sympy-10-tasks,2026-09-01-v4,cell-000002,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-luna,medium,1,succeeded,,0.0,0.0,0.0,0.0,105008,56.046,5,0,0,0,0,0,0,0
sympy-10-tasks,2026-09-01-v4,cell-000003,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-luna,medium,1,succeeded,,0.0,0.0,0.0,0.0,122537,61.176,6,1,227,1,0,0,0,0
sympy-10-tasks,2026-09-01-v4,cell-000004,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-luna,high,1,succeeded,,0.0,0.0,0.0,0.0,155499,86.091,9,0,0,0,0,0,0,0
sympy-10-tasks,2026-09-01-v4,cell-000005,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-luna,high,1,succeeded,,0.0,0.0,0.0,0.0,307695,114.182,8,0,0,0,0,0,0,0
sympy-10-tasks,2026-09-01-v4,cell-000006,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-luna,high,1,succeeded,,0.0,0.0,0.0,0.0,57557,41.935,5,1,227,1,0,0,0,0
sympy-10-tasks,2026-09-01-v4,cell-000007,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-terra,low,1,succeeded,,0.0,0.0,0.0,0.0,108826,38.125,5,0,0,0,0,1,1,0
sympy-10-tasks,2026-09-01-v4,cell-000008,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-terra,low,1,succeeded,,0.0,0.0,0.0,0.0,52241,31.946,3,0,0,0,0,0,0,0
sympy-10-tasks,2026-09-01-v4,cell-000009,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-terra,low,1,succeeded,,0.0,0.0,0.0,0.0,63346,26.008,4,1,227,1,0,0,0,0
sympy-10-tasks,2026-09-01-v4,cell-000010,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-terra,medium,1,succeeded,,0.0,0.0,0.0,0.0,54736,25.907,3,0,0,0,0,0,0,0
sympy-10-tasks,2026-09-01-v4,cell-000011,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-terra,medium,1,succeeded,,0.0,0.0,0.0,0.0,11446,11.354,0,0,0,0,0,0,0,0
