experiment_id,experiment_version,task_id,repository,task_type,no_doc_mean_recall_at_3,no_doc_mean_recall_at_5,no_doc_mean_ndcg_at_3,no_doc_mean_returned_set_f1,no_doc_mean_provider_total_tokens,no_doc_mean_elapsed_seconds,no_doc_mean_agent_step_count,no_doc_mean_wiki_read_count,no_doc_mean_wiki_tokens,no_doc_mean_unique_wiki_pages,no_doc_mean_beyond_entry_reads,no_doc_mean_gold_seen_any,no_doc_mean_gold_seen_by_3_source_actions,no_doc_mean_gold_targeted_any,optional_mean_recall_at_3,optional_mean_recall_at_5,optional_mean_ndcg_at_3,optional_mean_returned_set_f1,optional_mean_provider_total_tokens,optional_mean_elapsed_seconds,optional_mean_agent_step_count,optional_mean_wiki_read_count,optional_mean_wiki_tokens,optional_mean_unique_wiki_pages,optional_mean_beyond_entry_reads,optional_mean_gold_seen_any,optional_mean_gold_seen_by_3_source_actions,optional_mean_gold_targeted_any,doc_first_mean_recall_at_3,doc_first_mean_recall_at_5,doc_first_mean_ndcg_at_3,doc_first_mean_returned_set_f1,doc_first_mean_provider_total_tokens,doc_first_mean_elapsed_seconds,doc_first_mean_agent_step_count,doc_first_mean_wiki_read_count,doc_first_mean_wiki_tokens,doc_first_mean_unique_wiki_pages,doc_first_mean_beyond_entry_reads,doc_first_mean_gold_seen_any,doc_first_mean_gold_seen_by_3_source_actions,doc_first_mean_gold_targeted_any,doc_first_minus_optional_recall_at_3,doc_first_minus_optional_recall_at_5,doc_first_minus_optional_ndcg_at_3,doc_first_minus_optional_returned_set_f1,doc_first_minus_optional_provider_total_tokens,doc_first_minus_optional_elapsed_seconds,doc_first_minus_optional_agent_step_count,doc_first_minus_optional_wiki_read_count,doc_first_minus_optional_wiki_tokens,doc_first_minus_optional_unique_wiki_pages,doc_first_minus_optional_beyond_entry_reads,doc_first_minus_optional_gold_seen_any,doc_first_minus_optional_gold_seen_by_3_source_actions,doc_first_minus_optional_gold_targeted_any,doc_first_minus_no_doc_recall_at_3,doc_first_minus_no_doc_recall_at_5,doc_first_minus_no_doc_ndcg_at_3,doc_first_minus_no_doc_returned_set_f1,doc_first_minus_no_doc_provider_total_tokens,doc_first_minus_no_doc_elapsed_seconds,doc_first_minus_no_doc_agent_step_count,doc_first_minus_no_doc_wiki_read_count,doc_first_minus_no_doc_wiki_tokens,doc_first_minus_no_doc_unique_wiki_pages,doc_first_minus_no_doc_beyond_entry_reads,doc_first_minus_no_doc_gold_seen_any,doc_first_minus_no_doc_gold_seen_by_3_source_actions,doc_first_minus_no_doc_gold_targeted_any,optional_minus_no_doc_recall_at_3,optional_minus_no_doc_recall_at_5,optional_minus_no_doc_ndcg_at_3,optional_minus_no_doc_returned_set_f1,optional_minus_no_doc_provider_total_tokens,optional_minus_no_doc_elapsed_seconds,optional_minus_no_doc_agent_step_count,optional_minus_no_doc_wiki_read_count,optional_minus_no_doc_wiki_tokens,optional_minus_no_doc_unique_wiki_pages,optional_minus_no_doc_beyond_entry_reads,optional_minus_no_doc_gold_seen_any,optional_minus_no_doc_gold_seen_by_3_source_actions,optional_minus_no_doc_gold_targeted_any
sympy-10-tasks,2026-09-01-v4,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,0.125,0.125,0.125,0.05,141825.0,49.540125,4.875,0.0,0.0,0.0,0.0,0.375,0.375,0.125,0.375,0.375,0.375,0.18333333333333335,170126.625,63.74125,5.25,0.0,0.0,0.0,0.0,0.375,0.0,0.375,0.125,0.125,0.125,0.05,134652.375,53.5855,6.125,1.0,227.0,1.0,0.0,0.125,0.0,0.125,-0.25,-0.25,-0.25,-0.13333333333333336,-35474.25,-10.155749999999998,0.875,1.0,227.0,1.0,0.0,-0.25,0.0,-0.25,0.0,0.0,0.0,0.0,-7172.625,4.045375,1.25,1.0,227.0,1.0,0.0,-0.25,-0.375,0.0,0.25,0.25,0.25,0.13333333333333336,28301.625,14.201124999999998,0.375,0.0,0.0,0.0,0.0,0.0,-0.375,0.25
sympy-10-tasks,2026-09-01-v4,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,1.0,1.0,1.0,0.7291666666666666,43445.625,23.60625,2.125,0.0,0.0,0.0,0.0,0.75,0.75,0.625,1.0,1.0,1.0,0.8333333333333333,40106.125,23.21075,1.875,0.0,0.0,0.0,0.0,0.75,0.75,0.625,1.0,1.0,1.0,0.6041666666666666,61554.25,31.531375,4.0,1.0,221.0,1.0,0.0,1.0,1.0,0.875,0.0,0.0,0.0,-0.22916666666666663,21448.125,8.320625,2.125,1.0,221.0,1.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,-0.125,18108.625,7.925125000000001,1.875,1.0,221.0,1.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.10416666666666663,-3339.5,-0.3954999999999984,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sympy-10-tasks,2026-09-01-v4,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,0.4583333333333333,0.5,0.5572684871520233,0.513095238095238,108683.0,112.552375,3.5,0.0,0.0,0.0,0.0,0.875,0.875,0.875,0.5,0.5,0.572629124140645,0.5214285714285715,116543.125,116.11175,3.875,0.0,0.0,0.0,0.0,0.875,0.875,0.875,0.5416666666666666,0.5416666666666666,0.6159283279048678,0.5428571428571428,134139.5,161.8,5.75,1.0,221.0,1.0,0.0,1.0,1.0,1.0,0.04166666666666663,0.04166666666666663,0.043299203764222804,0.021428571428571352,17596.375,45.68825000000001,1.875,1.0,221.0,1.0,0.0,0.125,0.125,0.125,0.08333333333333331,0.04166666666666663,0.05865984075284458,0.029761904761904767,25456.5,49.24762500000001,2.25,1.0,221.0,1.0,0.0,0.125,0.125,0.125,0.041666666666666685,0.0,0.015360636988621779,0.008333333333333415,7860.125,3.559375000000003,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sympy-10-tasks,2026-09-01-v4,14bb6064c0064e6545e1f9f5f93bbe4effe82449aefff3f97b1984ddcbc6a979,sympy/sympy,EXPLICIT_LOCATOR_CLUE,1.0,1.0,1.0,1.0,26386.125,13.234875,1.125,0.0,0.0,0.0,0.0,0.625,0.625,0.5,1.0,1.0,1.0,1.0,28309.375,13.7225,1.25,0.0,0.0,0.0,0.0,0.75,0.75,0.625,1.0,1.0,1.0,1.0,40879.375,19.195625,2.25,1.0,223.0,1.0,0.0,0.75,0.75,0.875,0.0,0.0,0.0,0.0,12570.0,5.473125,1.0,1.0,223.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,14493.25,5.960749999999999,1.125,1.0,223.0,1.0,0.0,0.125,0.125,0.375,0.0,0.0,0.0,0.0,1923.25,0.48762499999999953,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.125
sympy-10-tasks,2026-09-01-v4,2596fd779c8cadcfccfe5a727a23905638fdd6a164599b3f7c06f039e6753f24,sympy/sympy,EXPLICIT_LOCATOR_CLUE,0.4583333333333333,0.4583333333333333,0.49999999999999994,0.4720238095238095,98434.875,38.958,4.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.6666666666666666,0.75,0.669690557365044,0.6875,125048.125,49.224625,5.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.4583333333333333,0.5416666666666666,0.4629897611292668,0.4821428571428571,120545.0,47.237,6.0,1.0,221.0,1.0,0.0,1.0,1.0,1.0,-0.20833333333333331,-0.20833333333333337,-0.2067007962357772,-0.2053571428571429,-4503.125,-1.9876250000000013,0.5,1.0,221.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333331,-0.037010238870733125,0.010119047619047583,22110.125,8.279000000000003,2.0,1.0,221.0,1.0,0.0,0.25,0.25,0.25,0.20833333333333331,0.2916666666666667,0.16969055736504407,0.2154761904761905,26613.25,10.266625000000005,1.5,0.0,0.0,0.0,0.0,0.25,0.25,0.25
sympy-10-tasks,2026-09-01-v4,2afc89aff6224cd5c839d363c21634e9017d2aee8b82ff2bb8e6569e63e9162c,sympy/sympy,EXPLICIT_LOCATOR_CLUE,1.0,1.0,1.0,0.6666666666666666,74368.0,26.527625,3.125,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,71005.875,26.938625000000002,3.0,0.0,0.0,0.0,0.0,0.875,0.875,0.875,1.0,1.0,1.0,0.7083333333333333,71649.75,31.19475,3.875,1.0,378.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.04166666666666663,643.875,4.256124999999997,0.875,1.0,378.0,1.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.04166666666666663,-2718.25,4.667124999999999,0.75,1.0,378.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3362.125,0.41100000000000136,-0.125,0.0,0.0,0.0,0.0,-0.125,-0.125,-0.125
sympy-10-tasks,2026-09-01-v4,2f8638e31d0c4bcfec6368fc2f78fc192dd1f3523c4b34e6ab4ec168733b7980,sympy/sympy,EXPLICIT_LOCATOR_CLUE,1.0,1.0,1.0,0.625,115129.625,34.286625,3.75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,76050.625,28.607499999999998,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.875,1.0,1.0,1.0,0.625,111524.625,43.617,5.875,1.125,450.25,1.25,0.125,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35474.0,15.0095,2.875,1.125,450.25,1.25,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,-3605.0,9.330374999999997,2.125,1.125,450.25,1.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39079.0,-5.679125000000003,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,-0.125
sympy-10-tasks,2026-09-01-v4,39a107184ef03a4b09e2f4622b0006fc0a9adffd4796dce8b249fe9acebc6d00,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,1.0,1.0,1.0,0.8333333333333333,40923.875,19.901625,1.875,0.125,105.5,0.125,0.125,1.0,1.0,0.25,1.0,1.0,1.0,0.75,37499.125,17.009999999999998,1.75,0.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,1.0,1.0,0.75,47370.125,21.868625,2.75,1.0,219.0,1.0,0.0,0.875,0.875,0.375,0.0,0.0,0.0,0.0,9871.0,4.8586250000000035,1.0,1.0,219.0,1.0,0.0,-0.125,-0.125,0.125,0.0,0.0,0.0,-0.08333333333333326,6446.25,1.9670000000000023,0.875,0.875,113.5,0.875,-0.125,-0.125,-0.125,0.125,0.0,0.0,0.0,-0.08333333333333326,-3424.75,-2.8916250000000012,-0.125,-0.125,-105.5,-0.125,-0.125,0.0,0.0,0.0
sympy-10-tasks,2026-09-01-v4,65f6471ca8c6a918aee0f279a66f354fd00b6b40763b0308f4e534e6e07541aa,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.05714285714285715,799453.0,163.95414285714287,16.714285714285715,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.25,0.25,0.25,0.16666666666666666,806416.375,152.503875,18.125,0.0,0.0,0.0,0.0,0.5,0.125,0.25,0.25,0.25,0.25,0.10416666666666666,1189340.5,208.321,24.125,1.0,221.0,1.0,0.0,0.5,0.125,0.25,0.0,0.0,0.0,-0.0625,382924.125,55.817125000000004,6.0,1.0,221.0,1.0,0.0,0.0,0.0,0.0,0.10714285714285715,0.10714285714285715,0.10714285714285715,0.04702380952380951,389887.5,44.36685714285713,7.410714285714285,1.0,221.0,1.0,0.0,0.2142857142857143,-0.01785714285714285,0.10714285714285715,0.10714285714285715,0.10714285714285715,0.10714285714285715,0.10952380952380951,6963.375,-11.450267857142876,1.4107142857142847,0.0,0.0,0.0,0.0,0.2142857142857143,-0.01785714285714285,0.10714285714285715
sympy-10-tasks,2026-09-01-v4,69bf954d4a913e0bf2104803ea5fb7b6afc22f6419501c40e662b72933aa9377,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,1.0,1.0,1.0,0.6124999999999999,90274.375,40.1055,3.375,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5916666666666667,103263.0,42.600375,4.125,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5375,107674.25,41.532,5.375,1.0,221.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.054166666666666696,4411.25,-1.0683750000000032,1.25,1.0,221.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07499999999999996,17399.875,1.4264999999999972,2.0,1.0,221.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02083333333333326,12988.625,2.4948750000000004,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
